x	y	showSelected1
-1.96356449483356	1.37605972835589	48095-48136
-1.94460386101493	1.45944906385855	48095-48137
-1.1502562514203	0.71441876278478	48095-48138
-1.27674943770682	0.679708153876497	48095-48139
-1.96179859419525	1.46241187381531	48095-48140
-0.677536073628881	0.27231081378457	48095-48141
-1.0719598184299	0.627782806677589	48095-48142
-1.6637375520892	0.70547759283441	48095-48143
-4.37136826518242	2.08223430368986	48095-48144
-1.29480790962548	24.2347565195634	48096-48096
-1.02237792953709	18.4227672893975	48096-48097
-0.896858334013898	10.8631446887181	48096-48098
-0.621984373728729	5.56361446897002	48096-48099
-0.439297711144046	2.99416848524202	48096-48100
0.0922444736491317	0.258244935427141	48096-48101
-0.113335262181881	0.273184348944643	48096-48102
-0.586970765415883	1.90529633372788	48096-48103
-0.660596851667757	2.28562643099403	48096-48104
-0.789620785205664	2.80508610846495	48096-48105
-0.775185013432548	2.38151293950888	48096-48106
-1.16671478206819	3.18913647693531	48096-48107
-0.152743660637818	0.155882517038858	48096-48108
-1.09694272958758	1.93242121541412	48096-48109
-0.035183947264466	0.0331984434548059	48096-48110
-1.04219210340334	1.77008650684456	48096-48111
-0.285587330883634	0.296582507160459	48096-48112
-0.816779137206951	0.948720949333118	48096-48113
-1.39169704925505	2.13438168032115	48096-48114
-1.33067876236647	1.28737031212073	48096-48115
-0.90007361570026	0.925523769155213	48096-48116
-0.591173938447024	0.585393644436259	48096-48117
-1.27465762615357	1.51728472628859	48096-48118
-2.93576746640233	3.63537342648355	48096-48119
-0.674272561037817	0.526569557961997	48096-48120
-1.67133989900063	1.64897755604494	48096-48121
-0.857999500839413	0.959018105634454	48096-48122
-0.296908046332717	0.239438742601286	48096-48123
-1.59153871181593	1.90208008703915	48096-48124
-1.94554527231594	1.86782657327015	48096-48125
-2.69184470750966	2.79612210590535	48096-48126
-1.51061514627778	1.06901879226812	48096-48127
-1.13509192601608	0.94754653778386	48096-48128
-1.80610223751052	1.55545346918689	48096-48129
-1.26871372561106	0.830595563364106	48096-48130
-1.54276680195257	0.878816070292667	48096-48131
-4.13705834976475	1.79931817216914	48096-48132
-1.50247026232448	1.39011983933825	48096-48133
-1.92897255782224	1.86085217185844	48096-48134
-0.651625274870697	0.455921929863655	48096-48135
-0.282367039800195	0.152263383391344	48096-48136
-1.41224586376298	0.770101804951445	48096-48137
-4.90396544790935	3.01805329793103	48096-48138
-2.24232076220196	1.86893595685709	48096-48139
-1.02577399153495	0.833903305773078	48096-48140
-1.09446104893436	0.76650212575199	48096-48141
-0.968610273807461	0.320342085743399	48096-48142
-1.86973824600122	1.38298500461209	48096-48143
-1.51115505666974	0.624555132559364	48096-48144
-1.67161261718717	0.694439058027966	48096-48145
-0.411897644356679	7.89955997838264	48097-48097
-0.206810896219065	2.39967670592736	48097-48098
-0.115237829301213	0.848067187693314	48097-48099
0.41264272484968	6.01878019876452	48097-48100
0.727816938462874	12.8758645350834	48097-48101
0.518647674968173	6.24020242077459	48097-48102
0.155660786586538	0.775684771132804	48097-48103
-0.136005196751153	0.562736247362709	48097-48104
-0.109648908168697	0.393582786973705	48097-48105
0.0988059856725695	0.346846537507287	48097-48106
-0.0565417405641558	0.14736472541606	48097-48107
-0.0195545696155563	0.0410925207577085	48097-48108
