x	y	tooltip	clickSelects	group	xmin	xmax	ymin	ymax
0.25	1	logFC=0.25 -log10(p)=1 pixels= 158	logFC=0.25 -log10(p)=1	208	0.125	0.375	0.5	1.5
-1.25	5	logFC=-1.25 -log10(p)=5 pixels= 27	logFC=-1.25 -log10(p)=5	93	-1.375	-1.125	4.5	5.5
-1.75	8	logFC=-1.75 -log10(p)=8 pixels= 3	logFC=-1.75 -log10(p)=8	132	-1.875	-1.625	7.5	8.5
-1.75	6	logFC=-1.75 -log10(p)=6 pixels= 4	logFC=-1.75 -log10(p)=6	130	-1.875	-1.625	5.5	6.5
-2	9	logFC=-2 -log10(p)=9 pixels= 1	logFC=-2 -log10(p)=9	151	-2.125	-1.875	8.5	9.5
-1.5	4	logFC=-1.5 -log10(p)=4 pixels= 16	logFC=-1.5 -log10(p)=4	110	-1.625	-1.375	3.5	4.5
-2	5	logFC=-2 -log10(p)=5 pixels= 7	logFC=-2 -log10(p)=5	147	-2.125	-1.875	4.5	5.5
-2	4	logFC=-2 -log10(p)=4 pixels= 5	logFC=-2 -log10(p)=4	146	-2.125	-1.875	3.5	4.5
-1.75	5	logFC=-1.75 -log10(p)=5 pixels= 6	logFC=-1.75 -log10(p)=5	129	-1.875	-1.625	4.5	5.5
-1.75	3	logFC=-1.75 -log10(p)=3 pixels= 9	logFC=-1.75 -log10(p)=3	127	-1.875	-1.625	2.5	3.5
-2	3	logFC=-2 -log10(p)=3 pixels= 9	logFC=-2 -log10(p)=3	145	-2.125	-1.875	2.5	3.5
-0.5	4	logFC=-0.5 -log10(p)=4 pixels= 65	logFC=-0.5 -log10(p)=4	20	-0.625	-0.375	3.5	4.5
-1	4	logFC=-1 -log10(p)=4 pixels= 55	logFC=-1 -log10(p)=4	67	-1.125	-0.875	3.5	4.5
-1.25	6	logFC=-1.25 -log10(p)=6 pixels= 27	logFC=-1.25 -log10(p)=6	94	-1.375	-1.125	5.5	6.5
-1.25	4	logFC=-1.25 -log10(p)=4 pixels= 33	logFC=-1.25 -log10(p)=4	92	-1.375	-1.125	3.5	4.5
-1.5	3	logFC=-1.5 -log10(p)=3 pixels= 10	logFC=-1.5 -log10(p)=3	109	-1.625	-1.375	2.5	3.5
-0.5	10	logFC=-0.5 -log10(p)=10 pixels= 20	logFC=-0.5 -log10(p)=10	11	-0.625	-0.375	9.5	10.5
-0.25	5	logFC=-0.25 -log10(p)=5 pixels= 12	logFC=-0.25 -log10(p)=5	6	-0.375	-0.125	4.5	5.5
-0.5	11	logFC=-0.5 -log10(p)=11 pixels= 18	logFC=-0.5 -log10(p)=11	12	-0.625	-0.375	10.5	11.5
-0.75	11	logFC=-0.75 -log10(p)=11 pixels= 11	logFC=-0.75 -log10(p)=11	29	-0.875	-0.625	10.5	11.5
-0.5	5	logFC=-0.5 -log10(p)=5 pixels= 44	logFC=-0.5 -log10(p)=5	21	-0.625	-0.375	4.5	5.5
-0.75	9	logFC=-0.75 -log10(p)=9 pixels= 22	logFC=-0.75 -log10(p)=9	47	-0.875	-0.625	8.5	9.5
-1	5	logFC=-1 -log10(p)=5 pixels= 58	logFC=-1 -log10(p)=5	68	-1.125	-0.875	4.5	5.5
-1.75	7	logFC=-1.75 -log10(p)=7 pixels= 4	logFC=-1.75 -log10(p)=7	131	-1.875	-1.625	6.5	7.5
-2	6	logFC=-2 -log10(p)=6 pixels= 5	logFC=-2 -log10(p)=6	148	-2.125	-1.875	5.5	6.5
-0.5	7	logFC=-0.5 -log10(p)=7 pixels= 38	logFC=-0.5 -log10(p)=7	23	-0.625	-0.375	6.5	7.5
-0.75	10	logFC=-0.75 -log10(p)=10 pixels= 12	logFC=-0.75 -log10(p)=10	28	-0.875	-0.625	9.5	10.5
-0.75	4	logFC=-0.75 -log10(p)=4 pixels= 64	logFC=-0.75 -log10(p)=4	42	-0.875	-0.625	3.5	4.5
-0.75	16	logFC=-0.75 -log10(p)=16 pixels= 10	logFC=-0.75 -log10(p)=16	34	-0.875	-0.625	15.5	16.5
-0.75	13	logFC=-0.75 -log10(p)=13 pixels= 15	logFC=-0.75 -log10(p)=13	31	-0.875	-0.625	12.5	13.5
-0.25	3	logFC=-0.25 -log10(p)=3 pixels= 47	logFC=-0.25 -log10(p)=3	4	-0.375	-0.125	2.5	3.5
-0.75	8	logFC=-0.75 -log10(p)=8 pixels= 20	logFC=-0.75 -log10(p)=8	46	-0.875	-0.625	7.5	8.5
-1	6	logFC=-1 -log10(p)=6 pixels= 31	logFC=-1 -log10(p)=6	69	-1.125	-0.875	5.5	6.5
-1	7	logFC=-1 -log10(p)=7 pixels= 15	logFC=-1 -log10(p)=7	70	-1.125	-0.875	6.5	7.5
-0.5	13	logFC=-0.5 -log10(p)=13 pixels= 6	logFC=-0.5 -log10(p)=13	14	-0.625	-0.375	12.5	13.5
-0.25	6	logFC=-0.25 -log10(p)=6 pixels= 10	logFC=-0.25 -log10(p)=6	7	-0.375	-0.125	5.5	6.5
-0.75	5	logFC=-0.75 -log10(p)=5 pixels= 45	logFC=-0.75 -log10(p)=5	43	-0.875	-0.625	4.5	5.5
-1.25	9	logFC=-1.25 -log10(p)=9 pixels= 4	logFC=-1.25 -log10(p)=9	97	-1.375	-1.125	8.5	9.5
-2	7	logFC=-2 -log10(p)=7 pixels= 1	logFC=-2 -log10(p)=7	149	-2.125	-1.875	6.5	7.5
-0.75	17	logFC=-0.75 -log10(p)=17 pixels= 9	logFC=-0.75 -log10(p)=17	35	-0.875	-0.625	16.5	17.5
-1.75	9	logFC=-1.75 -log10(p)=9 pixels= 3	logFC=-1.75 -log10(p)=9	133	-1.875	-1.625	8.5	9.5
-0.75	12	logFC=-0.75 -log10(p)=12 pixels= 14	logFC=-0.75 -log10(p)=12	30	-0.875	-0.625	11.5	12.5
0.25	2	logFC=0.25 -log10(p)=2 pixels= 29	logFC=0.25 -log10(p)=2	209	0.125	0.375	1.5	2.5
-0.5	14	logFC=-0.5 -log10(p)=14 pixels= 14	logFC=-0.5 -log10(p)=14	15	-0.625	-0.375	13.5	14.5
-0.25	4	logFC=-0.25 -log10(p)=4 pixels= 26	logFC=-0.25 -log10(p)=4	5	-0.375	-0.125	3.5	4.5
-0.75	7	logFC=-0.75 -log10(p)=7 pixels= 23	logFC=-0.75 -log10(p)=7	45	-0.875	-0.625	6.5	7.5
-1.25	8	logFC=-1.25 -log10(p)=8 pixels= 14	logFC=-1.25 -log10(p)=8	96	-1.375	-1.125	7.5	8.5
-0.75	18	logFC=-0.75 -log10(p)=18 pixels= 17	logFC=-0.75 -log10(p)=18	36	-0.875	-0.625	17.5	18.5
-0.75	14	logFC=-0.75 -log10(p)=14 pixels= 15	logFC=-0.75 -log10(p)=14	32	-0.875	-0.625	13.5	14.5
-0.75	15	logFC=-0.75 -log10(p)=15 pixels= 14	logFC=-0.75 -log10(p)=15	33	-0.875	-0.625	14.5	15.5
-0.5	12	logFC=-0.5 -log10(p)=12 pixels= 12	logFC=-0.5 -log10(p)=12	13	-0.625	-0.375	11.5	12.5
-0.5	9	logFC=-0.5 -log10(p)=9 pixels= 16	logFC=-0.5 -log10(p)=9	25	-0.625	-0.375	8.5	9.5
-0.75	19	logFC=-0.75 -log10(p)=19 pixels= 8	logFC=-0.75 -log10(p)=19	37	-0.875	-0.625	18.5	19.5
0.5	3	logFC=0.5 -log10(p)=3 pixels= 14	logFC=0.5 -log10(p)=3	215	0.375	0.625	2.5	3.5
0.75	1	logFC=0.75 -log10(p)=1 pixels= 5	logFC=0.75 -log10(p)=1	220	0.625	0.875	0.5	1.5
0.5	4	logFC=0.5 -log10(p)=4 pixels= 3	logFC=0.5 -log10(p)=4	216	0.375	0.625	3.5	4.5
0.5	2	logFC=0.5 -log10(p)=2 pixels= 29	logFC=0.5 -log10(p)=2	214	0.375	0.625	1.5	2.5
1	2	logFC=1 -log10(p)=2 pixels= 1	logFC=1 -log10(p)=2	229	0.875	1.125	1.5	2.5
0.75	3	logFC=0.75 -log10(p)=3 pixels= 14	logFC=0.75 -log10(p)=3	223	0.625	0.875	2.5	3.5
0.25	3	logFC=0.25 -log10(p)=3 pixels= 8	logFC=0.25 -log10(p)=3	210	0.125	0.375	2.5	3.5
